,class,mean_cases,population,ratio,state,date
11872,yellow,199,1080577,18.416086960947716,Montana,2021-02-24
18737,yellow,961,5218040,18.416876834980187,South Carolina,2021-04-14
11257,red,1133,6151548,18.41812824999496,Missouri,2020-08-19
4461,red,1973,10710017,18.422006239579265,Georgia,2020-09-08
2519,red,1070,5807719,18.423756383530264,Colorado,2021-03-15
15319,yellow,141,765309,18.42393072602047,North Dakota,2021-04-04
12006,red,357,1937552,18.425311940015032,Nebraska,2020-05-08
20166,red,599,3249879,18.431455448033603,Utah,2020-07-13
22522,red,329,1784787,18.433572185364415,West Virginia,2021-02-24
2074,yellow,7257,39368078,18.433716779366268,California,2021-02-24
16957,red,782,4241507,18.43684332007468,Oregon,2021-01-28
10881,red,547,2966786,18.437460605517217,Mississippi,2020-10-08
2377,red,1071,5807719,18.440974847440103,Colorado,2020-10-24
2526,red,1071,5807719,18.440974847440103,Colorado,2021-03-22
10148,red,1838,9966555,18.441678192715536,Michigan,2021-02-04
13161,red,252,1366275,18.44431025964758,New Hampshire,2021-03-07
1417,red,559,3030522,18.44566711609419,Arkansas,2020-07-08
5679,red,337,1826913,18.446417536029358,Idaho,2020-07-10
22939,yellow,1076,5832655,18.447859508234245,Wisconsin,2021-02-15
20771,red,115,623347,18.44879336870154,Vermont,2021-01-08
20840,red,115,623347,18.44879336870154,Vermont,2021-03-18
11260,red,1135,6151548,18.45064039165426,Missouri,2020-08-22
18571,red,963,5218040,18.455205402794917,South Carolina,2020-10-30
18735,yellow,963,5218040,18.455205402794917,South Carolina,2021-04-12
18499,red,963,5218040,18.455205402794917,South Carolina,2020-08-19
2518,red,1072,5807719,18.458193311349945,Colorado,2021-03-14
20403,yellow,600,3249879,18.462225824407618,Utah,2021-03-07
20168,red,600,3249879,18.462225824407618,Utah,2020-07-15
6055,red,2324,12587530,18.462716672770593,Illinois,2020-05-21
16345,red,735,3980783,18.46370425114858,Oklahoma,2020-07-26
16386,red,735,3980783,18.46370425114858,Oklahoma,2020-09-05
780,yellow,135,731158,18.463861436242237,Alaska,2021-02-08
817,yellow,135,731158,18.463861436242237,Alaska,2021-03-17
809,yellow,135,731158,18.463861436242237,Alaska,2021-03-09
808,yellow,135,731158,18.463861436242237,Alaska,2021-03-08
807,yellow,135,731158,18.463861436242237,Alaska,2021-03-07
806,yellow,135,731158,18.463861436242237,Alaska,2021-03-06
811,yellow,135,731158,18.463861436242237,Alaska,2021-03-11
11255,red,1136,6151548,18.466896462483916,Missouri,2020-08-17
17738,red,589,3189068,18.469345902940923,Puerto Rico,2020-11-18
217,red,909,4921532,18.46985857249328,Alabama,2020-09-24
6200,red,2327,12587530,18.48654978379396,Illinois,2020-10-13
20180,red,601,3249879,18.49299620078163,Utah,2020-07-27
7902,red,828,4477251,18.493490760290186,Kentucky,2020-10-11
9309,red,1120,6055802,18.494660162270826,Maryland,2021-02-17
7457,red,539,2913805,18.49814932708263,Kansas,2020-09-22
1891,red,7283,39368078,18.49976013561038,California,2020-08-25
10853,red,549,2966786,18.504873624184555,Mississippi,2020-09-10
4092,red,4022,21733312,18.506153134874243,Florida,2020-11-04
14640,red,1962,10600823,18.507996973442534,North Carolina,2020-07-25
14638,red,1962,10600823,18.507996973442534,North Carolina,2020-07-23
1665,yellow,561,3030522,18.511662347278786,Arkansas,2021-03-13
19397,red,1275,6886834,18.513586939949473,Tennessee,2020-10-04
11237,red,1139,6151548,18.515664674972868,Missouri,2020-07-30
8932,red,250,1350141,18.516584564130707,Maine,2021-04-07
14639,red,1963,10600823,18.51743020329648,North Carolina,2020-07-24
3505,red,132,712816,18.51810284842091,District of Columbia,2020-05-27
1845,red,7293,39368078,18.5251614264735,California,2020-07-10
14727,red,1964,10600823,18.526863433150424,North Carolina,2020-10-20
9352,red,1122,6055802,18.527686341132025,Maryland,2021-04-01
18525,red,967,5218040,18.531862538424388,South Carolina,2020-09-14
17648,red,591,3189068,18.53206015048911,Puerto Rico,2020-08-20
7617,yellow,540,2913805,18.532468713589275,Kansas,2021-03-01
7433,red,540,2913805,18.532468713589275,Kansas,2020-08-29
1418,red,562,3030522,18.544659962871084,Arkansas,2020-07-09
11266,red,1141,6151548,18.54817681663217,Missouri,2020-08-28
18743,yellow,968,5218040,18.551026822331757,South Carolina,2021-04-20
20170,red,603,3249879,18.554536953529656,Utah,2020-07-17
15320,yellow,142,765309,18.554596901382315,North Dakota,2021-04-05
2607,red,660,3557006,18.554930747938013,Connecticut,2020-04-11
6328,yellow,2336,12587530,18.558049116864073,Illinois,2021-02-18
2516,red,1078,5807719,18.561504094808996,Colorado,2021-03-12
16385,red,739,3980783,18.56418699537252,Oklahoma,2020-09-04
11435,red,1142,6151548,18.564432887461823,Missouri,2021-02-13
7447,red,541,2913805,18.566788100095923,Kansas,2020-09-12
7431,red,541,2913805,18.566788100095923,Kansas,2020-08-27
9460,red,1280,6893574,18.568017112748773,Massachusetts,2020-05-18
233,red,914,4921532,18.571452954080154,Alabama,2020-10-10
215,red,914,4921532,18.571452954080154,Alabama,2020-09-22
10618,yellow,1051,5657342,18.577628858216457,Minnesota,2021-03-20
2505,red,1079,5807719,18.578722558718837,Colorado,2021-03-01
12337,yellow,360,1937552,18.580146494132805,Nebraska,2021-04-04
9632,red,1281,6893574,18.582523376118107,Massachusetts,2020-11-06
14909,red,1970,10600823,18.583462812274103,North Carolina,2021-04-20
20167,red,604,3249879,18.585307329903667,Utah,2020-07-14
17883,red,593,3189068,18.594774398037295,Puerto Rico,2021-04-12
658,red,136,731158,18.6006307802144,Alaska,2020-10-09
657,red,136,731158,18.6006307802144,Alaska,2020-10-08
788,yellow,136,731158,18.6006307802144,Alaska,2021-02-16
824,yellow,136,731158,18.6006307802144,Alaska,2021-03-24
19310,red,1281,6886834,18.600709702019824,Tennessee,2020-07-09
7615,yellow,542,2913805,18.60110748660257,Kansas,2021-02-27
7616,yellow,542,2913805,18.60110748660257,Kansas,2021-02-28
22407,red,332,1784787,18.60165946972944,West Virginia,2020-11-01
22551,red,332,1784787,18.60165946972944,West Virginia,2021-03-25
1229,yellow,1381,7421401,18.60834632167161,Arizona,2021-03-03
12545,red,584,3138259,18.609044059142345,Nevada,2020-08-29
12719,red,584,3138259,18.609044059142345,Nevada,2021-02-19
1474,red,564,3030522,18.610655194055678,Arkansas,2020-09-03
9461,red,1283,6893574,18.611535902856776,Massachusetts,2020-05-19
374,red,916,4921532,18.6120907067149,Alabama,2021-02-28
10046,red,1855,9966555,18.61224866566231,Michigan,2020-10-25
2534,red,1081,5807719,18.613159486538517,Colorado,2021-03-30
6372,yellow,2344,12587530,18.62160407959306,Illinois,2021-04-03
17685,red,594,3189068,18.626131521811388,Puerto Rico,2020-09-26
17686,red,594,3189068,18.626131521811388,Puerto Rico,2020-09-27
18528,red,972,5218040,18.627683957961228,South Carolina,2020-09-17
6040,red,2345,12587530,18.62954844993418,Illinois,2020-05-06
19545,yellow,1283,6886834,18.629750622709942,Tennessee,2021-03-01
19396,red,1283,6886834,18.629750622709942,Tennessee,2020-10-03
14729,red,1975,10600823,18.630628961543835,North Carolina,2020-10-22
210,red,917,4921532,18.632409583032278,Alabama,2020-09-17
7432,red,543,2913805,18.635426873109218,Kansas,2020-08-28
7434,red,543,2913805,18.635426873109218,Kansas,2020-08-30
17947,red,197,1057125,18.635449923140595,Rhode Island,2020-04-15
6625,red,1259,6754953,18.63817557279821,Indiana,2020-10-12
16364,red,742,3980783,18.639549053540474,Oklahoma,2020-08-14
11024,red,553,2966786,18.639699661519234,Mississippi,2021-02-28
10784,red,553,2966786,18.639699661519234,Mississippi,2020-07-03
14328,red,3605,19336776,18.643231943111925,New York,2020-11-16
1460,red,565,3030522,18.643652809647975,Arkansas,2020-08-20
1664,yellow,565,3030522,18.643652809647975,Arkansas,2021-03-12
6052,red,2347,12587530,18.645437190616427,Illinois,2020-05-18
11249,red,1147,6151548,18.64571324161008,Missouri,2020-08-11
3059,red,184,986809,18.645958843099322,Delaware,2020-05-07
3071,red,184,986809,18.645958843099322,Delaware,2020-05-19
4524,red,1997,10710017,18.64609551973634,Georgia,2020-11-10
18527,red,973,5218040,18.646848241868593,South Carolina,2020-09-16
14730,red,1977,10600823,18.649495421251725,North Carolina,2020-10-23
135,red,918,4921532,18.65272845934965,Alabama,2020-07-04
6059,red,2348,12587530,18.653381560957552,Illinois,2020-05-25
1875,red,7345,39368078,18.657248138961723,California,2020-08-09
3473,red,133,712816,18.658391506363493,District of Columbia,2020-04-25
3502,red,133,712816,18.658391506363493,District of Columbia,2020-05-24
3681,red,133,712816,18.658391506363493,District of Columbia,2020-11-19
13174,red,255,1366275,18.663885381786244,New Hampshire,2021-03-20
4397,red,1999,10710017,18.664769626416092,Georgia,2020-07-06
10047,red,1861,9966555,18.672450009055286,Michigan,2020-10-26
16883,red,792,4241507,18.672608579922183,Oregon,2020-11-15
20171,red,607,3249879,18.677618459025705,Utah,2020-07-18
14728,red,1980,10600823,18.677795110813566,North Carolina,2020-10-21
7181,yellow,591,3163561,18.681479509957292,Iowa,2021-02-19
12013,red,362,1937552,18.68336953021132,Nebraska,2020-05-15
6053,red,2352,12587530,18.685159042322045,Illinois,2020-05-19
18545,red,975,5218040,18.68517680968333,South Carolina,2020-10-04
18734,yellow,975,5218040,18.68517680968333,South Carolina,2021-04-11
15321,yellow,143,765309,18.685263076744164,North Dakota,2021-04-06
8228,red,868,4645318,18.68548073565685,Louisiana,2020-07-03
17643,red,596,3189068,18.688845769359574,Puerto Rico,2020-08-15
1228,yellow,1387,7421401,18.689193590266854,Arizona,2021-03-02
22081,red,1438,7693612,18.69083078273248,Washington,2021-02-09
11721,red,202,1080577,18.693716412620294,Montana,2020-09-26
19844,red,5492,29360759,18.705238512396768,Texas,2020-10-25
13997,yellow,394,2106319,18.705618664599236,New Mexico,2021-02-19
19139,yellow,167,892717,18.70693624071234,South Dakota,2021-03-21
19142,yellow,167,892717,18.70693624071234,South Dakota,2021-03-24
