OBJECTID,Place,תאריך,שעות שהייה,lng,lat
1276173,שופרסל דיל ישפרו מודיעין - מודיעין מכבים רעות,28/6/2020,11:00 - 12:00,34.96596340000010,31.890544100000100
1276174,חוף גורדון - תל אביב יפו,27/6/2020,00:01 - 02:00,34.76772420000000,32.08285560000010
1276175,עיריית כפר קאסם - כפר קאסם,28/6/2020,07:30 - 16:00,34.97584180000010,32.11409270000010
1276176,"שדרות ירושלים 4, באר שבע",28/6/2020,08:00 - 09:00,34.78151860000000,31.245078200000000
1276177,אנטריקוט אילת - אילת,1/7/2020,12:00 - 15:30,34.95872120000010,29.56354470000010
1276178,מכללת ניהול פלוס אילת - אילת,1/7/2020,08:30 - 10:00,34.95385600000000,29.55680300000010
1276179,ישיבת בית מתתיהו - בני ברק,28/6/2020,08:00 - 08:30,34.82722720000000,32.089391000000000
1276180,שופרסל שלי - ראש העין,28/6/2020,16:30 - 17:00,34.96617530000000,32.09235640000000
1276181,שופרסל שלי לב אפק - ראש העין,28/6/2020,20:30 - 21:00,34.97380920000010,32.093538300000000
1276182,אוניברסיטת תל-אביב - תל אביב יפו,29/6/2020,08:00 - 13:00,34.80438770000010,32.113314100000000
1276183,מכבי משרד סניף חולון - חולון,28/6/2020,18:30 - 19:10,34.76995800000000,32.013769000000000
1276184,סופר-פארם אורון - פתח תקווה,28/6/2020,20:00 - 20:30,34.885430100000100,32.07574180000010
1276185,"ההסתדרות 26, פתח תקווה",29/6/2020,13:00 - 14:00,34.88673040000000,32.086049700000000
1276186,בית חולים השרון - פתח תקווה,29/6/2020,17:00 - 23:30,34.88181290000010,32.07896470000000
1276187,סופר דוש חולון - חולון,30/6/2020,08:00 - 15:00,34.77235360000000,32.002833500000100
1276188,"ביאליק 3, רעננה",27/6/2020,06:00 - 07:00,34.88018940000010,32.178822500000000
1276189,"ביאליק 3, רעננה",28/6/2020,06:00 - 07:00,34.88018940000010,32.178822500000000
1276190,"ביאליק 3, רעננה",29/6/2020,06:00 - 07:00,34.88018940000010,32.178822500000000
1276191,ויקטורי אחוזה רעננה - רעננה,28/6/2020,11:00 - 12:00,34.86989100000010,32.18184160000000
1276192,"מבצע נחשון 5, אשדוד",28/6/2020,20:00 - 22:00,34.66024720000010,31.798936500000000
1276193,"הרותם 29, אשדוד",28/6/2020,18:30 - 19:00,34.65192670000010,31.78949890000010
1276194,"חטיבת הנגב 11, אשדוד",29/6/2020,10:00 - 13:00,34.66395750000000,31.80301090000010
1276195,הלל יפה - חדרה,30/6/2020,08:00 - 12:00,34.91698780000010,32.43670800000010
1276196,יש בשכונה סניף חברון - בני ברק,29/6/2020,19:00 - 21:00,34.82624450000000,32.08304960000000
1276197,"מכללת אפקה, לימודי הנדסה בתל אביב - תל אביב יפו",29/6/2020,08:00 - 11:00,34.81810390000000,32.11491520000000
1276198,מסעדה איטלקית ג'מה - תל אביב יפו,28/6/2020,17:00 - 23:00,34.760357800000100,32.05581970000000
1276199,"בן יהודה 21, תל אביב יפו",29/6/2020,08:00 - 23:59,34.76794970000000,32.07588000000000
1276200,סופר דוש חולון - חולון,30/6/2020,07:00 - 16:00,34.77235360000000,32.002833500000100
1276201,מרכז רפואי מאוחדת - אשדוד,29/6/2020,15:00 - 15:30,34.665579800000000,31.791834300000100
1276202,"היפר-מור בע""מ - פתח תקווה",28/6/2020,19:30 - 20:30,34.906219200000100,32.077729600000100
1276203,באולינג ראשון לציון - Rishon LeTsiyon,29/6/2020,20:30 - 22:30,34.77376460000010,31.990998400000000
1276204,נאמוס - הרצליה,28/6/2020,14:00 - 16:00,34.795364300000100,32.16442820000000
1276205,בראסרי - תל אביב יפו,1/7/2020,23:00 - 23:30,34.78147790000000,32.080557300000100
1276206,קניון הזהב - ראשון לציון,29/6/2020,19:00 - 20:30,34.77424200000010,31.991392500000100
1276207,מלון בראון - תל אביב יפו,27/6/2020,01:00 - 03:00,34.77015990000010,32.06544450000010
1276208,זוט אלורס - גבעתיים,28/6/2020,22:00 - 23:30,34.80878320000010,32.07546250000010
1276209,ויקטורי - תל אביב יפו,30/6/2020,19:00 - 20:00,34.782071200000100,32.06649120000000
1276210,"כללית דימונה ב' - דימונה, ישראל",28/6/2020,13:00 - 13:30,35.03424200000010,31.065210000000000
1276211,מחסני להב - תל אביב יפו,29/6/2020,08:00 - 15:00,34.79930110000000,32.11294260000010
1276212,מחסני להב - תל אביב יפו,28/6/2020,08:00 - 15:00,34.79930110000000,32.11294260000010
1276213,"הרב עוזיאל 41, בני ברק",30/6/2020,10:00 - 13:00,34.83992000000010,32.073088400000100
1276214,"כללית דימונה ב' - דימונה, ישראל",28/6/2020,13:00 - 13:30,35.03374660000000,31.064626400000100
1276215,סמי בכיכר גריל ישראלי - חדרה,28/6/2020,18:30 - 19:30,34.90946330000000,32.43409830000010
1276216,קאנטרי ספורט לנד - חדרה,28/6/2020,16:30 - 18:00,34.90587700000000,32.44173500000010
1276217,"מוקד מד""א לאומי מרחבי - קרית אונו",28/6/2020,07:00 - 15:00,34.86626760000010,32.05661640000010
1276218,בית חולים לניאדו - נתניה,29/6/2020,08:00 - 16:00,34.85771900000000,32.34621800000010
1276219,"חפץ חיים 1, מודיעין עילית",1/7/2020,22:00 - 23:00,35.04734920000000,31.934658200000100
1276220,"נתיבות המשפט 43, מודיעין עילית",30/6/2020,13:00 - 13:30,35.04516410000010,31.930064000000100
1276221,קפה גרג - גבעת שמואל,28/6/2020,21:00 - 22:00,34.85453480000010,32.075658100000100
1276222,"המתכת 5, נוף הגליל",30/6/2020,20:00 - 22:00,35.32192280000000,32.70316490000010
1276223,ביג פאשן נצרת - נצרת,30/6/2020,15:30 - 16:30,35.30108360000000,32.69600330000000
1276224,"המתכת 5, נוף הגליל",29/6/2020,20:00 - 22:00,35.32192280000000,32.70316490000010
1276225,"הנמל 9, אשקלון",29/6/2020,18:30 - 20:00,34.556060100000000,31.682070800000100
1276226,נאמוס - הרצליה,30/6/2020,19:00 - 20:00,34.795364300000100,32.16442820000000
1276227,קפה גרג - גבעת שמואל,28/6/2020,21:00 - 22:00,34.85453480000010,32.075658100000100
1276228,מקום של בשר - תל אביב יפו,30/6/2020,22:30 - 23:30,34.768472400000100,32.06353850000010
1276229,"הנגר 24, הוד השרון",29/6/2020,16:00 - 22:30,34.89494750000010,32.13007580000000
1276230,"הציונות 7, הוד השרון",28/6/2020,21:30 - 23:30,34.88598500000010,32.14634900000000
1276231,שלוותה - תל אביב יפו,28/6/2020,23:00 - 23:30,34.783286600000100,32.06683270000010
1276232,נויה מרקט - אילת,28/6/2020,14:00 - 14:30,34.943889600000000,29.560234500000000
1276233,כללית - מרכז רפואי רמות אשכול - ירושלים,30/6/2020,13:30 - 14:00,35.22622280000010,31.801218000000100
1276234,מוזלים - נתניה,29/6/2020,17:45 - 18:15,34.859241300000100,32.331386200000100
1276235,"הפועלים 22, דימונה",28/6/2020,10:30 - 11:00,35.016472100000000,31.064651800000000
1276236,צומת שילת - ,1/7/2020,12:45 - 12:55,35.01667000000000,31.91307800000000
1276237,מנפיס - שילת,1/7/2020,13:00 - 13:40,35.01640200000000,31.914937000000100
1276238,איקאה IKEA - ראשון לציון,1/7/2020,14:30 - 18:30,34.77126100000000,31.95156000000000
1276239,"שדרות רוטשילד 24, תל אביב יפו",28/6/2020,22:00 - 23:30,34.771961900000100,32.062941900000100
1276240,ממתקי אלי זול - נתיבות,28/6/2020,08:00 - 08:30,34.57199890000000,31.416740100000000
1276241,אילקה בר - תל אביב יפו,27/6/2020,00:00 - 03:30,34.77406220000010,32.08294970000000
1276242,קאנטרי רמת השרון - רמת השרון,28/6/2020,08:00 - 09:00,34.83262160000000,32.14300110000010
1276243,מרפאת שיניים מכבידנט הס - תל אביב יפו,29/6/2020,16:00 - 16:30,34.771551600000100,32.071559000000000
1276244,"ריינס 18, תל אביב יפו",1/7/2020,09:00 - 10:00,34.77526700000000,32.079431000000100
1276245,"דרך מנחם בגין 11, רמת גן",29/6/2020,09:00 - 18:00,34.80045420000010,32.086412600000100
1276246,"תובל 41, רמת גן",28/6/2020,21:00 - 22:00,34.80147860000010,32.08411230000010
1276247,"תובל 41, רמת גן",30/6/2020,10:00 - 13:00,34.80147860000010,32.08411230000010
1276248,שפיים - ,30/6/2020,13:00 - 15:00,34.82240900000010,32.21658600000010
1276249,"תובל 41, רמת גן",30/6/2020,15:00 - 18:00,34.80147860000010,32.08411230000010
1276250,"תובל 41, רמת גן",1/7/2020,10:00 - 14:00,34.80147860000010,32.08411230000010
1276251,"אצ""ל 9, ראשון לציון",28/6/2020,19:00 - 20:30,34.76704180000010,31.98846120000010
1276252,"תלמוד תורה תשב""ר - בני ברק",28/6/2020,08:00 - 13:00,34.834928200000000,32.08128330000010
