,num_casos
24121,
24173,
24225,
24277,
24329,
24381,
24433,
24485,
24537,
24589,
24641,
24693,
24745,
24797,
24849,
24901,
24953,
25005,
25057,
25109,
25161,
25213,
25265,
25317,
25369,
25421,
25473,
25525,
25577,
25629,
25681,
25733,
25785,
25837,
25889,
25941,
25993,
26045,
26097,
26149,
26201,
26253,
26305,
26357,
26409,
26461,
26513,
26565,
26617,
26669,
26721,
26773,
26825,
26877,
26929,
26981,
27033,
27085,
27137,
27189,
27241,
27293,
27345,
27397,
27449,
27501,
27553,
27605,
27657,
27709,
27761,
27813,
27865,
27917,
27969,
28021,
28073,
28125,
28177,
28229,
28281,
28333,
28385,
