province,country,id,value,color,Change,value_old,color_old
New Caledonia,France,fr_68,0,green,,0,green
Reunion,France,fr_69,0.047413793,green,,0.07112069,green
Saint Barthelemy,France,fr_70,0,green,,0,green
St Martin,France,fr_71,0.047619048,green,,0.047619048,green
Martinique,France,fr_72,0.096256684,green,,0.080213904,green
,France,fr_73,0.04406919,green,yellow,0.048789176,green
Saint Pierre and Miquelon,France,232,0,green,,0,green
,Gabon,66,0.909559244,red,,0.871765382,red
,Gambia,65,0.25,yellow,yellow,0.4,orange
,Georgia,geo_67,0.444759207,orange,green,0.430594901,orange
,Germany,71,0.007927007,green,yellow,0.069932103,green
,Ghana,68,0.393254801,yellow,red,0.704695821,orange
,Greece,73,0.141695703,yellow,green,0.173635308,yellow
,Grenada,69,0.090909091,green,,0.090909091,green
,Guatemala,74,1,red,,0.946202532,red
,Guinea,75,0.849012776,red,,0.801393728,red
,Guinea-Bissau,167,0.500875657,orange,,0.719789842,orange
,Guyana,76,0.451612903,orange,red,0.758064516,orange
,Haiti,77,1,red,,1,red
,Holy See,238,0,green,,0,green
,Honduras,78,1,red,red,0.735282339,orange
,Hungary,80,0.372413793,yellow,,0.366047745,yellow
,Iceland,81,0.002073255,green,,0.00138217,green
,India,82,0.992660269,red,,0.978469769,red
,Indonesia,224,0.954872739,red,,0.980160858,red
,Iran,83,0.691829145,orange,red,0.565981997,orange
,Iraq,87,0.939810427,red,,1,red
,Ireland,50,0.136455273,yellow,,0.189966016,yellow
,Israel,84,0.025300601,green,yellow,0.034819639,green
,Italy,85,0.00782979,green,yellow,0.098445504,green
,Jamaica,89,0.162895928,yellow,green,0.140271493,yellow
,Japan,88,0.082915605,green,yellow,0.1247432,yellow
,Jordan,90,0.397372742,yellow,green,0.367816092,yellow
,Kazakhstan,97,1,red,,0.796377607,red
,Kenya,91,1,red,,0.959578207,red
,Kosovo,kos_1,0.1,green,,0.1,green
,Kuwait,96,0.957710908,red,,1,red
,Kyrgyzstan,92,0.995176849,red,,0.807823129,red
,Laos,98,0,green,,0,green
,Latvia,100,0.271794872,yellow,green,0.305982906,yellow
,Lebanon,99,0.749116608,orange,green,0.427561837,orange
,Liberia,103,0.587301587,orange,,0.507936508,orange
,Libya,106,0.235294118,yellow,,0.029411765,green
,Liechtenstein,105,0,green,,0,green
,Lithuania,102,0.210109019,yellow,green,0.211100099,yellow
,Luxembourg,135,0.050570459,green,,0.049337034,green
,Madagascar,107,1,red,,0.940677966,red
,Malawi,22,0.814814815,red,,1,red
,Malaysia,120,0.221731449,yellow,,0.231448763,yellow
,Maldives,118,0.684890656,orange,,0.791252485,red
,Mali,112,0.884086444,red,yellow,0.78978389,orange
,Malta,116,0.510989011,orange,green,0.35989011,yellow
,Mauritania,115,1,red,,1,red
,Mauritius,114,0,green,,0,green
,Mexico,119,0.73620021,orange,red,0.953647125,red
,Moldova,171,0.92122281,red,,0.956745623,red
,Monaco,137,0.025316456,green,,0.025316456,green
,Mongolia,109,1,red,,1,red
,Montenegro,139,0,green,,0,green
,Morocco,113,0.463264761,orange,,0.662837296,orange
,Mozambique,121,0.967741935,red,,1,red
,Namibia,217,0.285714286,yellow,,0,green
,Nepal,155,0.8828125,red,,1,red
Aruba,Netherlands,dutch_153,0,green,,0,green
Curacao,Netherlands,dutch_154,0,green,,0,green
Sint Maarten,Netherlands,dutch_155,0.024691358,green,,0.024691358,green
,Netherlands,dutch_156,0.163269959,yellow,,0.18798158,yellow
,New Zealand,159,0.009327115,green,,0.01065956,green
,Nicaragua,158,0.982591876,red,,0.857142857,red
,Niger,125,0.188679245,yellow,green,0.273584906,yellow
,Nigeria,152,0.957395498,red,,0.900321543,red
,North Macedonia,111,0.432087511,orange,,0.388331814,yellow
,Norway,154,0.065496153,green,,0.077727362,green
,Oman,117,0.996252129,red,,0.988056959,red
,Pakistan,162,0.981030648,red,,0.924866285,red
,Panama,164,0.648118218,orange,red,0.755945509,orange
,Papua New Guinea,166,0,green,,0,green
,Paraguay,160,0.221850613,yellow,green,0.609810479,orange
,Peru,161,0.942766316,red,,0.95111974,red
,Philippines,172,0.761990624,orange,red,0.760908763,orange
,Poland,163,0.940873016,red,,0.88247012,red
,Portugal,165,0.276244846,yellow,,0.259372027,yellow
,Qatar,168,0.964229249,red,,0.977652167,red
,Romania,170,0.498699877,orange,,0.606541672,orange
,Russia,174,0.826711405,red,,0.919878761,red
,Rwanda,175,0.333333333,yellow,,0.193236715,yellow
,Saint Kitts and Nevis,177,0,green,,0,green
,Saint Lucia,188,0,green,,0,green
,Saint Vincent and the Grenadines,212,0.090909091,green,,0,green
,San Marino,234,0.123493976,yellow,green,0.189759036,yellow
,Sao Tome and Principe,199,0.177884615,yellow,,0,green
,Saudi Arabia,176,0.97597069,red,,0.981556729,red
,Senegal,182,0.864185111,red,,0.966229839,red
,Serbia,237,0.21464108,yellow,,0.203127221,yellow
,Seychelles,178,0,green,,0,green
,Sierra Leone,184,0.90858209,red,,1,red
,Singapore,185,0.583467959,orange,red,0.723209478,orange
,Slovakia,104,0.066604995,green,,0.081406105,green
,Slovenia,183,0.01320132,green,,0.03630363,green
,Somalia,186,0.774224806,orange,,0.96195122,red
,South Africa,179,0.974855156,red,,1,red
,Spain,187,0.14844185,yellow,,0.246193429,yellow
,Sri Lanka,25,0.439735099,orange,red,0.401324503,orange
,Sudan,189,0.984379694,red,,0.907367668,red
,Suriname,157,0.142857143,yellow,,0,green
,Sweden,190,0.834092544,red,,0.830975785,red
,Switzerland,192,0.028483625,green,,0.038574443,green
,Syria,191,0.575,orange,green,0.6,orange
,Taiwan*,245,0.005333333,green,,0,green
,Tanzania,204,0,green,,0.054104478,green
,Thailand,194,0.016380016,green,,0.026208026,green
,Timor-Leste,228,0,green,,0,green
,Togo,198,0.832432432,red,,0.958333333,red
,Trinidad and Tobago,193,0,green,,0,green
,Tunisia,200,0.042049934,green,,0.023653088,green
,Turkey,201,0.275705896,yellow,,0.334086289,yellow
,Uganda,205,0.281786942,yellow,,0.996047431,red
,Ukraine,207,0.811582213,red,,0.899276112,red
,United Arab Emirates,227,0.968371177,red,,0.976868709,red
Bermuda,United Kingdom,uk_206,0.159090909,yellow,,0.113636364,yellow
Cayman Islands,United Kingdom,uk_207,1,red,,0.364864865,yellow
Channel Islands,United Kingdom,uk_208,0.042682927,green,,0.036585366,green
Gibraltar,United Kingdom,uk_209,0.045751634,green,,0.026143791,green
Guernsey,United Kingdom,uk_210,nan,green,,nan,green
Isle of Man,United Kingdom,uk_211,0.030100334,green,,0.040133779,green
Jersey,United Kingdom,uk_212,nan,green,,nan,green
Montserrat,United Kingdom,uk_213,0,green,,0,green
,United Kingdom,uk_214,0.48142412,orange,red,0.638964176,orange
Falkland Islands (Malvinas),United Kingdom,61,0,green,,1,red
Anguilla,United Kingdom,127,0,green,,0.083333333,green
British Virgin Islands,United Kingdom,214,0.333333333,yellow,,0,green
Turks and Caicos Islands,United Kingdom,235,0,green,,0.333333333,yellow
,Uruguay,210,0.155902004,yellow,green,0.200445434,yellow
Puerto Rico,US,173,0.957219251,red,,0.738636364,orange
Virgin Islands,US,216,0,green,,0.044444444,green
Georgia,US,67,0.727813041,orange,red,0.655452972,orange
Guam,US,72,0.192592593,yellow,green,0.059259259,green
North Dakota,US,mixed_10,0.971859986,red,yellow,0.95256167,red
Michigan,US,mixed_12,0.382199304,yellow,,0.339974551,yellow
Maine,US,mixed_13,1,red,yellow,0.869001297,red
Ohio,US,mixed_16,0.677234165,orange,red,0.682464757,orange
New Hampshire,US,mixed_17,0.788359788,orange,red,0.741798942,orange
New York,US,mixed_18,0.191947522,yellow,,0.218826993,yellow
