province,country,id,value,color
,Kyrgyzstan,92,0.9404255319148936,red
,Kuwait,96,0.8233475479744136,red
,Kazakhstan,97,0.8845403899721449,red
,Laos,98,0,green
,Lebanon,99,0.5767857142857142,orange
Diamond Princess,Cruise Ship,cruise,0,green
,Diamond Princess,cruise,0,green
Faroe Islands,Denmark,den_44,0,green
Greenland,Denmark,den_45,0,green
,Denmark,den_46,0.13894389438943894,yellow
Aruba,Netherlands,dutch_153,0,green
Curacao,Netherlands,dutch_154,0,green
Sint Maarten,Netherlands,dutch_155,0,green
,Netherlands,dutch_156,0.13494525547445255,yellow
French Guiana,France,fr_64,0.8083333333333332,red
French Polynesia,France,fr_65,0,green
Guadeloupe,France,fr_66,0,green
Mayotte,France,fr_67,0.829245283018868,red
New Caledonia,France,fr_68,0,green
Reunion,France,fr_69,0,green
Saint Barthelemy,France,fr_70,0,green
St Martin,France,fr_71,0,green
Martinique,France,fr_72,0,green
,France,fr_73,0.09005892025212386,green
North Dakota,US,mixed_10,0.43082191780821916,orange
Manitoba,Canada,mixed_11,0,green
Michigan,US,mixed_12,0.21225720026791692,yellow
Maine,US,mixed_13,0.7326530612244898,orange
Quebec,Canada,mixed_14,0.33883541867179984,yellow
New Brunswick,Canada,mixed_15,0,green
Ohio,US,mixed_16,0.5792464878671776,orange
New Hampshire,US,mixed_17,0.7388297872340426,orange
New York,US,mixed_18,0.12197830578512396,yellow
Vermont,US,mixed_19,0,green
Pennsylvania,US,mixed_20,0.359942638623327,yellow
Minnesota,US,mixed_2,0.671549295774648,orange
Arizona,US,mixed_21,1.0010899182561308,red
California,US,mixed_22,0.9796353166986563,red
New Mexico,US,mixed_23,0.881547619047619,red
Texas,US,mixed_24,0.9953835709436525,red
Alaska,US,mixed_25,0,green
Louisiana,US,mixed_27,0.26280962491153576,yellow
Mississippi,US,mixed_28,0.8785060975609755,red
Alabama,US,mixed_29,0.7372141372141373,orange
Florida,US,mixed_30,0.806735057983943,red
Ontario,Canada,mixed_3,0.5392911010558069,orange
South Carolina,US,mixed_32,1.0011945392491468,red
North Carolina,US,mixed_33,1.0011046511627908,red
Virginia,US,mixed_34,0.8257561436672968,red
District of Columbia,US,mixed_35,0.42081218274111676,orange
Maryland,US,mixed_36,0.8099442379182156,red
Delaware,US,mixed_37,0.3342995169082126,yellow
New Jersey,US,mixed_38,0.19794843360133074,yellow
Connecticut,US,mixed_39,0.21494538232373386,yellow
Rhode Island,US,mixed_40,0.2980719794344473,yellow
Washington,US,mixed_4,0.5671218487394958,orange
Massachusetts,US,mixed_41,0.3641193903471634,yellow
Oregon,US,mixed_42,0.7881944444444444,orange
Newfoundland and Labrador,Canada,mixed_44,0,green
Nova Scotia,Canada,mixed_45,0,green
Northwest Territories,Canada,mixed_46,0,green
Hawaii,US,mixed_47,0,green
Prince Edward Island,Canada,mixed_48,0,green
Utah,US,mixed_49,1.0034883720930232,red
Wyoming,US,mixed_50,0,green
British Columbia,Canada,mixed_5,0,green
Nevada,US,mixed_51,0.7930921052631579,red
Colorado,US,mixed_52,0.5429097605893186,orange
South Dakota,US,mixed_53,0.5089743589743589,orange
Nebraska,US,mixed_54,0.6099531615925058,orange
Kansas,US,mixed_55,0.35366666666666663,yellow
Oklahoma,US,mixed_56,0.6805785123966942,orange
Iowa,US,mixed_57,0.5939047619047619,orange
Missouri,US,mixed_58,0.7379921259842519,orange
Wisconsin,US,mixed_59,0.8495841995841995,red
Idaho,US,mixed_6,0.48225806451612907,orange
Illinois,US,mixed_60,0.47351109381082135,orange
Kentucky,US,mixed_61,0.9437500000000001,red
Arkansas,US,mixed_62,0.9969135802469136,red
Tennessee,US,mixed_63,0.9003937007874016,red
West Virginia,US,mixed_64,0.6420454545454546,orange
Indiana,US,mixed_65,0.6288937409024745,orange
Western Australia,Australia,mixed_66,0,green
Northern Territory,Australia,mixed_67,0,green
South Australia,Australia,mixed_68,0,green
Queensland,Australia,mixed_69,0,green
Montana,US,mixed_7,0,green
New South Wales,Australia,mixed_70,0,green
Victoria,Australia,mixed_72,0,green
Tasmania,Australia,mixed_73,0,green
Australian Capital Territory,Australia,mixed_77,0,green
Alberta,Canada,mixed_8,0.075,green
Saskatchewan,Canada,mixed_9,0,green
Bermuda,United Kingdom,uk_206,0,green
Cayman Islands,United Kingdom,uk_207,0,green
Channel Islands,United Kingdom,uk_208,0,green
Gibraltar,United Kingdom,uk_209,0,green
Guernsey,United Kingdom,uk_210,0,green
Isle of Man,United Kingdom,uk_211,0,green
Jersey,United Kingdom,uk_212,0,green
Montserrat,United Kingdom,uk_213,0,green
,United Kingdom,uk_214,0.31490872210953347,yellow
Yukon,Canada,mixed_26,0,green
,Botswana,181,0,green
,Burundi,28,0,green
,Sierra Leone,184,0.5551724137931034,orange
,Malawi,22,0,green
Falkland Islands (Malvinas),United Kingdom,61,0,green
Saint Pierre and Miquelon,France,232,0,green
,Western Sahara,236,0,green
,Sao Tome and Principe,199,0,green
,Yemen,221,0,green
,Burma,17,0,green
Anguilla,United Kingdom,127,0,green
British Virgin Islands,United Kingdom,214,0,green
Turks and Caicos Islands,United Kingdom,235,0,green
