province,country,id,value,color
Aruba,Netherlands,dutch_153,5,green
Curacao,Netherlands,dutch_154,0,green
Sint Maarten,Netherlands,dutch_155,4,green
,Netherlands,dutch_156,1096,yellow
French Guiana,France,fr_64,24,red
French Polynesia,France,fr_65,2,green
Guadeloupe,France,fr_66,7,green
Mayotte,France,fr_67,53,red
New Caledonia,France,fr_68,1,green
Reunion,France,fr_69,23,green
Saint Barthelemy,France,fr_70,0,green
St Martin,France,fr_71,2,green
Martinique,France,fr_72,9,green
,France,fr_73,7298,yellow
North Dakota,US,mixed_10,73,yellow
Manitoba,Canada,mixed_11,16,green
Michigan,US,mixed_12,1493,red
Maine,US,mixed_13,49,red
Quebec,Canada,mixed_14,1039,red
New Brunswick,Canada,mixed_15,7,green
Ohio,US,mixed_16,783,red
New Hampshire,US,mixed_17,94,red
New York,US,mixed_18,9680,yellow
Vermont,US,mixed_19,38,green
Pennsylvania,US,mixed_20,1569,red
Minnesota,US,mixed_2,710,red
Arizona,US,mixed_21,734,red
California,US,mixed_22,2605,red
New Mexico,US,mixed_23,168,red
Texas,US,mixed_24,1473,red
Alaska,US,mixed_25,13,green
Louisiana,US,mixed_27,1413,red
Mississippi,US,mixed_28,328,red
Alabama,US,mixed_29,481,red
Florida,US,mixed_30,1121,red
Ontario,Canada,mixed_3,663,red
South Carolina,US,mixed_32,293,red
North Carolina,US,mixed_33,860,red
Virginia,US,mixed_34,1058,red
District of Columbia,US,mixed_35,197,red
Maryland,US,mixed_36,1076,red
Delaware,US,mixed_37,207,red
New Jersey,US,mixed_38,3607,red
Connecticut,US,mixed_39,1007,red
Rhode Island,US,mixed_40,389,red
Washington,US,mixed_4,476,red
Massachusetts,US,mixed_41,2362,red
Oregon,US,mixed_42,72,red
Newfoundland and Labrador,Canada,mixed_44,16,green
Nova Scotia,Canada,mixed_45,34,green
Northwest Territories,Canada,mixed_46,0,green
Hawaii,US,mixed_47,27,green
Prince Edward Island,Canada,mixed_48,1,green
Utah,US,mixed_49,258,red
Wyoming,US,mixed_50,23,green
British Columbia,Canada,mixed_5,67,green
Nevada,US,mixed_51,152,red
Colorado,US,mixed_52,543,red
South Dakota,US,mixed_53,117,red
Nebraska,US,mixed_54,427,red
Kansas,US,mixed_55,300,red
Oklahoma,US,mixed_56,121,red
Iowa,US,mixed_57,525,red
Missouri,US,mixed_58,254,red
Wisconsin,US,mixed_59,481,red
Idaho,US,mixed_6,93,red
Illinois,US,mixed_60,2569,red
Kentucky,US,mixed_61,208,red
Arkansas,US,mixed_62,243,red
Tennessee,US,mixed_63,508,red
West Virginia,US,mixed_64,44,red
Indiana,US,mixed_65,687,red
Western Australia,Australia,mixed_66,28,green
Northern Territory,Australia,mixed_67,1,green
South Australia,Australia,mixed_68,26,green
Queensland,Australia,mixed_69,52,green
Montana,US,mixed_7,19,green
New South Wales,Australia,mixed_70,163,green
Victoria,Australia,mixed_72,69,green
Tasmania,Australia,mixed_73,8,green
Australian Capital Territory,Australia,mixed_77,7,green
Alberta,Canada,mixed_8,246,yellow
Saskatchewan,Canada,mixed_9,17,green
Bermuda,United Kingdom,uk_206,4,green
Cayman Islands,United Kingdom,uk_207,4,green
Channel Islands,United Kingdom,uk_208,24,green
Gibraltar,United Kingdom,uk_209,7,green
Guernsey,United Kingdom,uk_210,0,green
Isle of Man,United Kingdom,uk_211,14,green
Jersey,United Kingdom,uk_212,0,green
Montserrat,United Kingdom,uk_213,0,green
,United Kingdom,uk_214,5423,red
Yukon,Canada,mixed_26,0,green
,Botswana,181,1,green
,Burundi,28,2,green
,Sierra Leone,184,29,red
,Malawi,22,30,red
Falkland Islands (Malvinas),United Kingdom,61,0,green
Saint Pierre and Miquelon,France,232,0,green
,Western Sahara,236,0,green
,Sao Tome and Principe,199,23,red
,Yemen,221,22,red
,Burma,17,9,green
Anguilla,United Kingdom,127,0,green
British Virgin Islands,United Kingdom,214,0,green
Turks and Caicos Islands,United Kingdom,235,0,green
