province,country,id,Yaneer,value,Our_classification,
,Chad,35,green,0.4589285714285710,orange,X
,Colombia,37,red,0.06640530759951750,green,
,Costa Rica,38,red,1.032,red,
,Central African Republic,39,red,1.005921052631580,red,
,Cuba,40,green,0.31634615384615400,yellow,X
,Armenia,4,red,0.9927230046948360,red,
,Cape Verde,41,green,0,green,
,Cyprus,43,green,0.06363636363636360,green,
,Djibouti,45,red,0.950925925925926,red,
,Dominica,46,green,0.2,yellow,X
,Dominican Republic,47,red,0.8929166666666670,red,
,Ecuador,48,red,0.2200228832951950,yellow,X
,Egypt,49,red,0.9862468931234470,red,
,Angola,5,green,0.5166666666666670,orange,X
,Ireland,50,yellow,0.04539170506912440,green,
,Equatorial Guinea,51,red,0.536734693877551,orange,
,Estonia,52,green,0.11967213114754100,yellow,
,Eritrea,53,green,0.0,green,
,El Salvador,54,red,0.8994186046511630,red,
,Ethiopia,55,red,1.0083333333333300,red,
,Austria,56,yellow,0.03689986282578880,green,X?
,Czechia,57,yellow,0.16763636363636400,yellow,
,Finland,59,yellow,0.19379310344827600,yellow,
,Fiji,60,green,0.0,green,
,Gambia,65,green,0.1,green,
,Gabon,66,red,0.7545871559633030,orange,
Georgia,US,67,red,0.7286951501154730,orange,
,Georgia,geo_67,green,0.42058823529411800,orange,
,Ghana,68,red,0.6336569579288030,orange,
,Grenada,69,green,0.0,green,
,Argentina,7,red,0.9708984375000000,red,
,Germany,71,yellow,0.06537540619120920,green,X
Guam,US,72,green,0.17500000000000000,yellow,X
,Greece,73,green,0.0808139534883721,green,
,Guatemala,74,red,0.9439922480620160,red,
,Guinea,75,red,0.9127906976744190,red,
,Guyana,76,green,0.4666666666666670,orange,X
,Haiti,77,red,0.8993975903614460,red,
,Honduras,78,red,0.704126213592233,orange,
,Croatia,79,green,0.004285714285714290,green,
,Hungary,80,green,0.2,yellow,X
,Iceland,81,green,0.0020833333333333300,green,
,India,82,red,0.9781560368553310,red,
,Iran,83,red,0.9247480013903370,red,
,Israel,84,yellow,0.13160535117056900,yellow,
,Italy,85,yellow,0.06497354497354500,green,X
,Cote d'Ivoire,86,red,1.004945054945060,red,
,Iraq,87,red,1.0009278350515500,red,
,Japan,88,green,0.002302631578947370,green,
,Jamaica,89,green,0.12954545454545500,yellow,X
,Jordan,90,green,0.21666666666666700,yellow,X
,Bahrain,9,red,1.0013953488372100,red,
,Kenya,91,red,0.976605504587156,red,
,Kyrgyzstan,92,red,0.9404255319148940,red,
,Kuwait,96,red,0.8233475479744140,red,
,Kazakhstan,97,red,0.8845403899721450,red,
,Laos,98,green,0.0,green,
,Lebanon,99,red,0.5767857142857140,orange,
Diamond Princess,Cruise Ship,cruise,green,0.0,green,
,Diamond Princess,cruise,green,0.0,green,
Faroe Islands,Denmark,den_44,green,0.0,green,
Greenland,Denmark,den_45,green,0,green,
,Denmark,den_46,yellow,0.13894389438943900,yellow,
Aruba,Netherlands,dutch_153,green,0.0,green,
Curacao,Netherlands,dutch_154,green,0,green,
Sint Maarten,Netherlands,dutch_155,green,0.0,green,
,Netherlands,dutch_156,yellow,0.13494525547445300,yellow,
French Guiana,France,fr_64,red,0.8083333333333330,red,
French Polynesia,France,fr_65,green,0.0,green,
Guadeloupe,France,fr_66,green,0.04285714285714290,green,
Mayotte,France,fr_67,red,0.829245283018868,red,
New Caledonia,France,fr_68,green,0.2,yellow,
Reunion,France,fr_69,green,0.0891304347826087,green,
Saint Barthelemy,France,fr_70,green,0,green,
St Martin,France,fr_71,green,0.05,green,
Martinique,France,fr_72,green,0.05555555555555560,green,
,France,fr_73,yellow,0.09005892025212390,green,X
North Dakota,US,mixed_10,yellow,0.43082191780821900,orange,X
Manitoba,Canada,mixed_11,green,0.05,green,
Michigan,US,mixed_12,red,0.21225720026791700,yellow,X
Maine,US,mixed_13,red,0.7326530612244900,orange,
Quebec,Canada,mixed_14,red,0.33883541867180000,yellow,X
New Brunswick,Canada,mixed_15,green,0.19285714285714300,yellow,X
Ohio,US,mixed_16,red,0.5792464878671780,orange,
New Hampshire,US,mixed_17,red,0.7388297872340430,orange,
New York,US,mixed_18,yellow,0.12197830578512400,yellow,
Vermont,US,mixed_19,green,0.15263157894736800,yellow,X
Pennsylvania,US,mixed_20,red,0.359942638623327,yellow,X
Minnesota,US,mixed_2,red,0.671549295774648,orange,
Arizona,US,mixed_21,red,1.0010899182561300,red,
California,US,mixed_22,red,0.9796353166986560,red,
New Mexico,US,mixed_23,red,0.881547619047619,red,
Texas,US,mixed_24,red,0.9953835709436530,red,
Alaska,US,mixed_25,green,0.8653846153846150,red,X
Louisiana,US,mixed_27,red,0.26280962491153600,yellow,X
Mississippi,US,mixed_28,red,0.8785060975609760,red,
Alabama,US,mixed_29,red,0.7372141372141370,orange,
Florida,US,mixed_30,red,0.806735057983943,red,
Ontario,Canada,mixed_3,red,0.5392911010558070,orange,
South Carolina,US,mixed_32,red,1.0011945392491500,red,
North Carolina,US,mixed_33,red,1.0011046511627900,red,
Virginia,US,mixed_34,red,0.8257561436672970,red,
District of Columbia,US,mixed_35,red,0.42081218274111700,orange,
Maryland,US,mixed_36,red,0.8099442379182160,red,
Delaware,US,mixed_37,red,0.3342995169082130,yellow,X
New Jersey,US,mixed_38,red,0.19794843360133100,yellow,X
Connecticut,US,mixed_39,red,0.21494538232373400,yellow,X
Rhode Island,US,mixed_40,red,0.2980719794344470,yellow,X
Washington,US,mixed_4,red,0.5671218487394960,orange,
Massachusetts,US,mixed_41,red,0.3641193903471630,yellow,X
Oregon,US,mixed_42,red,0.7881944444444440,orange,
Newfoundland and Labrador,Canada,mixed_44,green,0.00625,green,
Nova Scotia,Canada,mixed_45,green,0.016176470588235300,green,
Northwest Territories,Canada,mixed_46,green,0,green,
Hawaii,US,mixed_47,green,0.07592592592592590,green,
Prince Edward Island,Canada,mixed_48,green,0.0,green,
Utah,US,mixed_49,red,1.0034883720930200,red,
Wyoming,US,mixed_50,green,0.3391304347826090,yellow,X
British Columbia,Canada,mixed_5,green,0.1291044776119400,yellow,X
Nevada,US,mixed_51,red,0.7930921052631580,yellow,X (boundary)
Colorado,US,mixed_52,red,0.5429097605893190,orange,
South Dakota,US,mixed_53,red,0.5089743589743590,orange,
Nebraska,US,mixed_54,red,0.6099531615925060,orange,
Kansas,US,mixed_55,red,0.35366666666666700,yellow,X
Oklahoma,US,mixed_56,red,0.6805785123966940,orange,
Iowa,US,mixed_57,red,0.5939047619047620,orange,
Missouri,US,mixed_58,red,0.7379921259842520,orange,
Wisconsin,US,mixed_59,red,0.8495841995842000,red,
Idaho,US,mixed_6,red,0.48225806451612900,orange,
Illinois,US,mixed_60,red,0.47351109381082100,orange,
Kentucky,US,mixed_61,red,0.9437500000000000,red,
Arkansas,US,mixed_62,red,0.9969135802469140,red,
Tennessee,US,mixed_63,red,0.9003937007874020,red,
West Virginia,US,mixed_64,red,0.6420454545454550,orange,
Indiana,US,mixed_65,red,0.6288937409024750,orange,
Western Australia,Australia,mixed_66,green,0.09285714285714290,green,
Northern Territory,Australia,mixed_67,green,0.0,green,
South Australia,Australia,mixed_68,green,0.0,green,
Queensland,Australia,mixed_69,green,0.005769230769230770,green,
Montana,US,mixed_7,green,0.32105263157894700,yellow,X
New South Wales,Australia,mixed_70,green,0.012576687116564400,green,
Victoria,Australia,mixed_72,green,0.08405797101449280,green,
Tasmania,Australia,mixed_73,green,0.0,green,
Australian Capital Territory,Australia,mixed_77,green,0.0,green,
Alberta,Canada,mixed_8,yellow,0.075,green,X
Saskatchewan,Canada,mixed_9,green,0.07941176470588240,green,
Bermuda,United Kingdom,uk_206,green,0.05,green,
Cayman Islands,United Kingdom,uk_207,green,0.6375,orange,X
Channel Islands,United Kingdom,uk_208,green,0.0062500000000000000,green,
Gibraltar,United Kingdom,uk_209,green,0.2642857142857140,yellow,X
Guernsey,United Kingdom,uk_210,green,0,green,
Isle of Man,United Kingdom,uk_211,green,0.0,green,
Jersey,United Kingdom,uk_212,green,0,green,
Montserrat,United Kingdom,uk_213,green,0,green,
,United Kingdom,uk_214,red,0.31490872210953300,yellow,X
Yukon,Canada,mixed_26,green,0,green,
,Botswana,181,green,0.5,orange,X
,Burundi,28,green,1.05,red,X
,Sierra Leone,184,red,0.5551724137931030,orange,
,Malawi,22,red,1.0266666666666700,red,
Falkland Islands (Malvinas),United Kingdom,61,green,0,green,
Saint Pierre and Miquelon,France,232,green,0,green,
,Western Sahara,236,green,0,green,
,Sao Tome and Principe,199,red,0.24782608695652200,yellow,X
,Yemen,221,red,0.984090909090909,red,
,Burma,17,green,0.3333333333333330,yellow,X
Anguilla,United Kingdom,127,green,0,green,
British Virgin Islands,United Kingdom,214,green,0,green,
Turks and Caicos Islands,United Kingdom,235,green,0,green,
