province_country,id,value,color
"Crawford, Arkansas, US",84005033,1.0,red
"Crittenden, Arkansas, US",84005035,0.4652777777777778,orange
"Cross, Arkansas, US",84005037,0.7857142857142858,orange
"Dallas, Arkansas, US",84005039,0.0,green
"Desha, Arkansas, US",84005041,0.2,yellow
"Drew, Arkansas, US",84005043,0.0,green
"Faulkner, Arkansas, US",84005045,0.38571428571428573,yellow
"Franklin, Arkansas, US",84005047,0.0,green
"Fulton, Arkansas, US",84005049,0.5,orange
"Garland, Arkansas, US",84005051,0.18253968253968253,yellow
"Grant, Arkansas, US",84005053,0.125,yellow
"Greene, Arkansas, US",84005055,0.25,yellow
"Hempstead, Arkansas, US",84005057,0.5,orange
"Hot Spring, Arkansas, US",84005059,0.4166666666666667,orange
"Howard, Arkansas, US",84005061,0.0,green
"Independence, Arkansas, US",84005063,0.8214285714285714,red
"Izard, Arkansas, US",84005065,0.4285714285714286,orange
"Jackson, Arkansas, US",84005067,0.0,green
"Jefferson, Arkansas, US",84005069,0.9962686567164178,red
"Johnson, Arkansas, US",84005071,0.08695652173913045,green
"Lafayette, Arkansas, US",84005073,0.0,green
"Lawrence, Arkansas, US",84005075,0.2272727272727273,yellow
"Lee, Arkansas, US",84005077,0.9375,red
"Lincoln, Arkansas, US",84005079,0.0647590361445783,green
"Logan, Arkansas, US",84005083,0.5,orange
"Lonoke, Arkansas, US",84005085,0.06,green
"Madison, Arkansas, US",84005087,1.0,red
"Marion, Arkansas, US",84005089,0.0,green
"Miller, Arkansas, US",84005091,0.29268292682926833,yellow
"Mississippi, Arkansas, US",84005093,0.4626865671641791,orange
"Monroe, Arkansas, US",84005095,0.16666666666666669,yellow
"Montgomery, Arkansas, US",84005097,0.0,green
"Nevada, Arkansas, US",84005099,0.5,orange
"Newton, Arkansas, US",84005101,0.0,green
"Ouachita, Arkansas, US",84005103,0.3,yellow
"Perry, Arkansas, US",84005105,0.9,red
"Phillips, Arkansas, US",84005107,0.25,yellow
"Pike, Arkansas, US",84005109,0.0,green
"Poinsett, Arkansas, US",84005111,0.24,yellow
"Polk, Arkansas, US",84005113,0.2,yellow
"Pope, Arkansas, US",84005115,1.0,red
"Prairie, Arkansas, US",84005117,0.0,green
"Pulaski, Arkansas, US",84005119,0.5157894736842106,orange
"Randolph, Arkansas, US",84005121,0.23529411764705885,yellow
"St. Francis, Arkansas, US",84005123,0.6828282828282828,orange
"Saline, Arkansas, US",84005125,0.3392857142857143,yellow
"Scott, Arkansas, US",84005127,0.0,green
"Searcy, Arkansas, US",84005129,0.0,green
"Sebastian, Arkansas, US",84005131,0.35714285714285715,yellow
"Sevier, Arkansas, US",84005133,1.0,red
"Sharp, Arkansas, US",84005135,0.9500000000000001,red
"Stone, Arkansas, US",84005137,0.0,green
"Union, Arkansas, US",84005139,0.9883720930232559,red
"Van Buren, Arkansas, US",84005141,0.0,green
"Washington, Arkansas, US",84005143,0.9886363636363634,red
"White, Arkansas, US",84005145,0.06521739130434782,green
"Woodruff, Arkansas, US",84005147,0.0,green
"Yell, Arkansas, US",84005149,1.0,red
"Alameda, California, US",84006001,0.9149139579349905,red
"Alpine, California, US",84006003,0.0,green
"Amador, California, US",84006005,0.36363636363636365,yellow
"Butte, California, US",84006007,1.0,red
"Calaveras, California, US",84006009,0.0,green
"Colusa, California, US",84006011,0.0,green
"Contra Costa, California, US",84006013,0.5033557046979865,orange
"Del Norte, California, US",84006015,1.0,red
"El Dorado, California, US",84006017,0.6842105263157895,orange
"Fresno, California, US",84006019,1.0,red
"Glenn, California, US",84006021,1.0,red
"Humboldt, California, US",84006023,0.8219178082191781,red
"Imperial, California, US",84006025,1.0,red
"Inyo, California, US",84006027,0.0,green
"Kern, California, US",84006029,0.842911877394636,red
"Kings, California, US",84006031,0.7786666666666666,orange
"Lake, California, US",84006033,0.6,orange
"Los Angeles, California, US",84006037,0.8291284990532727,red
"Madera, California, US",84006039,0.6590909090909091,orange
"Marin, California, US",84006041,1.0,red
"Mariposa, California, US",84006043,0.0,green
"Mendocino, California, US",84006045,0.28571428571428575,yellow
"Merced, California, US",84006047,1.0,red
"Mono, California, US",84006051,0.29411764705882354,yellow
"Monterey, California, US",84006053,0.8216216216216216,red
"Napa, California, US",84006055,0.6136363636363636,orange
"Nevada, California, US",84006057,0.0,green
"Orange, California, US",84006059,0.8465227817745804,red
"Placer, California, US",84006061,0.10967741935483871,yellow
"Plumas, California, US",84006063,0.0,green
"Riverside, California, US",84006065,0.7185912631222485,orange
"Sacramento, California, US",84006067,0.1958041958041958,yellow
"San Benito, California, US",84006069,0.4102564102564103,orange
"San Bernardino, California, US",84006071,0.7998012916045703,orange
"San Diego, California, US",84006073,0.885801423246357,red
"San Francisco, California, US",84006075,0.5708061002178649,orange
"San Joaquin, California, US",84006077,0.5180412371134021,orange
"San Luis Obispo, California, US",84006079,0.5172413793103449,orange
"San Mateo, California, US",84006081,0.7148703956343793,orange
"Santa Barbara, California, US",84006083,0.3079584775086505,yellow
"Santa Clara, California, US",84006085,0.22408963585434172,yellow
"Santa Cruz, California, US",84006087,0.5925925925925926,orange
"Shasta, California, US",84006089,0.15384615384615385,yellow
"Siskiyou, California, US",84006093,0.28571428571428575,yellow
"Solano, California, US",84006095,0.572463768115942,orange
"Sonoma, California, US",84006097,0.9301075268817204,red
"Stanislaus, California, US",84006099,0.5906432748538011,orange
"Sutter, California, US",84006101,0.2727272727272727,yellow
"Tehama, California, US",84006103,1.0,red
"Tulare, California, US",84006107,0.808090310442145,red
"Tuolumne, California, US",84006109,0.0,green
"Ventura, California, US",84006111,0.9764705882352942,red
"Yolo, California, US",84006113,0.16883116883116883,yellow
"Yuba, California, US",84006115,0.7619047619047619,orange
"Adams, Colorado, US",84008001,0.6440798858773181,orange
"Alamosa, Colorado, US",84008003,0.7659574468085106,orange
"Arapahoe, Colorado, US",84008005,0.6354625550660793,orange
"Archuleta, Colorado, US",84008007,0.0,green
"Baca, Colorado, US",84008009,0.0,green
"Boulder, Colorado, US",84008013,0.4698275862068966,orange
"Broomfield, Colorado, US",84008014,0.3333333333333333,yellow
"Chaffee, Colorado, US",84008015,0.027397260273972605,green
"Clear Creek, Colorado, US",84008019,0.28571428571428575,yellow
"Costilla, Colorado, US",84008023,0.33333333333333337,yellow
"Crowley, Colorado, US",84008025,0.0,green
"Custer, Colorado, US",84008027,0.0,green
"Delta, Colorado, US",84008029,0.019607843137254905,green
"Denver, Colorado, US",84008031,0.6493115318416524,orange
"Douglas, Colorado, US",84008035,0.3778501628664495,yellow
"Eagle, Colorado, US",84008037,0.056644880174291944,green
"Elbert, Colorado, US",84008039,0.6153846153846154,orange
