province,country,id,value,color
,Fiji,60,0.0,green
,Gambia,65,0.25,yellow
,Gabon,66,0.9095592444190042,red
Georgia,US,67,0.7278130409694171,orange
,Georgia,geo_67,0.4447592067988669,orange
,Ghana,68,0.39325480071002095,yellow
,Grenada,69,0.09090909090909091,green
,Argentina,7,1.0,red
,Germany,71,0.007927006550255682,green
Guam,US,72,0.1925925925925926,yellow
,Greece,73,0.14169570267131243,yellow
,Guatemala,74,1.0,red
,Guinea,75,0.8490127758420442,red
,Guyana,76,0.4516129032258064,orange
,Haiti,77,1.0,red
,Honduras,78,1.0,red
,Croatia,79,0.04697508896797153,green
,Hungary,80,0.3724137931034483,yellow
,Iceland,81,0.002073255010366275,green
,India,82,0.9926602694977542,red
,Iran,83,0.6918291453793486,orange
,Israel,84,0.02530060120240481,green
,Italy,85,0.007829790235687268,green
,Cote d'Ivoire,86,0.8284936479128856,red
,Iraq,87,0.9398104265402845,red
,Japan,88,0.08291560522639493,green
,Jamaica,89,0.16289592760180996,yellow
,Jordan,90,0.3973727422003284,yellow
,Bahrain,9,0.9313508920985557,red
,Kenya,91,1.0,red
,Kyrgyzstan,92,0.995176848874598,red
,Kuwait,96,0.9577109081139172,red
,Kazakhstan,97,1.0,red
,Laos,98,0.0,green
,Lebanon,99,0.7491166077738516,orange
Diamond Princess,Cruise Ship,cruise,0.0,green
,Diamond Princess,cruise,0.0,green
Faroe Islands,Denmark,den_44,0.0,green
Greenland,Denmark,den_45,0.0,green
,Denmark,den_46,0.1981863149216818,yellow
Aruba,Netherlands,dutch_153,0.0,green
Curacao,Netherlands,dutch_154,0.0,green
Sint Maarten,Netherlands,dutch_155,0.02469135802469136,green
,Netherlands,dutch_156,0.16326995851000775,yellow
French Guiana,France,fr_64,1.0,red
French Polynesia,France,fr_65,0.0,green
Guadeloupe,France,fr_66,0.013513513513513514,green
Mayotte,France,fr_67,0.757775683317625,orange
New Caledonia,France,fr_68,0.0,green
Reunion,France,fr_69,0.04741379310344828,green
Saint Barthelemy,France,fr_70,0.0,green
St Martin,France,fr_71,0.047619047619047616,green
Martinique,France,fr_72,0.09625668449197862,green
,France,fr_73,0.044069189929782496,green
North Dakota,US,mixed_10,0.9718599862731641,red
Manitoba,Canada,mixed_11,0.012048192771084336,green
Michigan,US,mixed_12,0.3821993035092419,yellow
Maine,US,mixed_13,1.0,red
Quebec,Canada,mixed_14,0.6314042430365132,orange
New Brunswick,Canada,mixed_15,0.01360544217687075,green
Ohio,US,mixed_16,0.6772341646998788,orange
New Hampshire,US,mixed_17,0.7883597883597884,orange
New York,US,mixed_18,0.19194752201647683,yellow
Vermont,US,mixed_19,0.06161745827984595,green
Pennsylvania,US,mixed_20,0.5418896534148828,orange
Minnesota,US,mixed_2,0.9757589838909542,red
Arizona,US,mixed_21,0.9166980776479458,red
California,US,mixed_22,0.9671371392458395,red
New Mexico,US,mixed_23,0.7941787941787941,red
Texas,US,mixed_24,0.9082005378717938,red
Alaska,US,mixed_25,0.15267175572519084,yellow
Louisiana,US,mixed_27,0.3231944542689396,yellow
Mississippi,US,mixed_28,0.9451142702897247,red
Alabama,US,mixed_29,0.9756714060031596,red
Florida,US,mixed_30,0.6500334448160535,orange
Ontario,Canada,mixed_3,0.5650109293736338,orange
South Carolina,US,mixed_32,0.8505894413121475,red
North Carolina,US,mixed_33,1.0,red
Virginia,US,mixed_34,0.9512168384126288,red
District of Columbia,US,mixed_35,0.6887198986058302,orange
