province,country,id,value,color,Change,Check
,Colombia,37,0.9622251611836670,red,,
,Costa Rica,38,0.3836734693877550,yellow,green,
,Central African Republic,39,0.8948497854077250,red,,
,Cuba,40,0.25946969696969700,yellow,green,
,Armenia,4,0.9812236969893170,red,,Ok
,Cape Verde,41,0.0,green,,
,Cyprus,43,0.07796101949025490,green,,Ok
,Djibouti,45,0.3517786561264820,yellow,,
,Dominica,46,0.0,green,,
,Dominican Republic,47,0.9160839160839160,red,,
,Ecuador,48,0.20726929566187200,yellow,red,
,Egypt,49,0.9548872180451130,red,,
,Angola,5,0.5,orange,red,
,Ireland,50,0.18996601578250100,yellow,,Ok
,Equatorial Guinea,51,0.5667276051188300,orange,red,
,Estonia,52,0.08394458027709860,green,,Ok
,Eritrea,53,0.0,green,,
,El Salvador,54,0.971764705882353,red,,
,Ethiopia,55,0.8706293706293710,red,,
,Austria,56,0.06563442038914770,green,yellow,Ok
,Czechia,57,0.1526745240253850,yellow,,Ok
,Finland,59,0.4401372212692970,orange,yellow,Ok
,Fiji,60,0.0,green,,
,Gambia,65,0.4,orange,yellow,
,Gabon,66,0.8717653824036800,red,,
Georgia,US,67,0.6554529717253320,orange,red,
,Georgia,geo_67,0.43059490084985800,orange,green,Ok
,Ghana,68,0.7046958205583350,orange,red,
,Grenada,69,0.09090909090909090,green,,
,Argentina,7,0.9735549678881750,red,,
,Germany,71,0.06993210309384140,green,yellow,Ok
Guam,US,72,0.05925925925925930,green,,
,Greece,73,0.17363530778164900,yellow,green,Ok
,Guatemala,74,0.9462025316455700,red,,
,Guinea,75,0.8013937282229970,red,,
,Guyana,76,0.7580645161290320,orange,red,
,Haiti,77,1.0,red,,
,Honduras,78,0.7352823388065680,orange,red,
,Croatia,79,0.11814946619217100,yellow,green,Ok
,Hungary,80,0.3660477453580900,yellow,,Ok
,Iceland,81,0.0013821700069108500,green,,Ok
,India,82,0.9784697693746100,red,,
,Iran,83,0.5659819970110870,orange,red,
,Israel,84,0.03481963927855710,green,yellow,
,Italy,85,0.098445504483613,green,yellow,Ok
,Cote d'Ivoire,86,0.9517304189435340,red,,
,Iraq,87,1.0,red,,
,Japan,88,0.12474319993425900,yellow,,
,Jamaica,89,0.14027149321267000,yellow,,
,Jordan,90,0.367816091954023,yellow,,
,Bahrain,9,0.9282945736434110,red,,
,Kenya,91,0.9595782073813710,red,,
,Kyrgyzstan,92,0.8078231292517010,red,yellow,
,Kuwait,96,1.0,red,,
,Kazakhstan,97,0.796377607025247,red,,Ok
,Laos,98,0.0,green,,
,Lebanon,99,0.4275618374558300,orange,green,
Diamond Princess,Cruise Ship,cruise,0.0,green,,
,Diamond Princess,cruise,0.0,green,,
Faroe Islands,Denmark,den_44,0.0,green,yellow,Ok
Greenland,Denmark,den_45,0.0,green,,
,Denmark,den_46,0.2560593569662000,yellow,,Ok
Aruba,Netherlands,dutch_153,0.0,green,,
Curacao,Netherlands,dutch_154,0.0,green,,
Sint Maarten,Netherlands,dutch_155,0.02469135802469140,green,,
,Netherlands,dutch_156,0.1879815802671770,yellow,,Ok
French Guiana,France,fr_64,0.9745762711864410,red,,
French Polynesia,France,fr_65,0.0,green,,
Guadeloupe,France,fr_66,0.020270270270270300,green,,
Mayotte,France,fr_67,0.9198868991517440,red,,
New Caledonia,France,fr_68,0.0,green,,
Reunion,France,fr_69,0.07112068965517240,green,,
Saint Barthelemy,France,fr_70,0.0,green,,
St Martin,France,fr_71,0.047619047619047600,green,,
Martinique,France,fr_72,0.08021390374331550,green,,
,France,fr_73,0.048789176228806300,green,yellow,Ok
North Dakota,US,mixed_10,0.952561669829222,red,,
Manitoba,Canada,mixed_11,0.03313253012048190,green,,
Michigan,US,mixed_12,0.3399745512992230,yellow,,
Maine,US,mixed_13,0.8690012970168610,red,yellow,
Quebec,Canada,mixed_14,0.6949535767547030,orange,,
New Brunswick,Canada,mixed_15,0.0,green,,
Ohio,US,mixed_16,0.6824647572877470,orange,red,
New Hampshire,US,mixed_17,0.7417989417989420,orange,red,
New York,US,mixed_18,0.21882699310451700,yellow,,
Vermont,US,mixed_19,0.05776636713735560,green,,
Pennsylvania,US,mixed_20,0.5757199286442410,orange,red,
Minnesota,US,mixed_2,0.9298849675248450,red,,
Arizona,US,mixed_21,0.9321522804372410,red,,
California,US,mixed_22,0.9242692886309910,red,,
New Mexico,US,mixed_23,0.8048708048708050,red,,
Texas,US,mixed_24,0.9447837968172320,red,,
Alaska,US,mixed_25,0.09541984732824430,green,,
Louisiana,US,mixed_27,0.26020372073282900,yellow,red,
Mississippi,US,mixed_28,0.8666546697858560,red,,
Alabama,US,mixed_29,0.8626160337552740,red,,
Florida,US,mixed_30,0.5863545150501670,orange,red,
Ontario,Canada,mixed_3,0.5075751865531020,orange,,
South Carolina,US,mixed_32,0.800358790363916,red,,
North Carolina,US,mixed_33,0.9598432908912830,red,,
Virginia,US,mixed_34,0.92435869326902,red,,
District of Columbia,US,mixed_35,0.6826362484157160,orange,red,
Maryland,US,mixed_36,0.8243845796562940,red,,
Delaware,US,mixed_37,0.792007703418392,red,,
New Jersey,US,mixed_38,0.3212068296468760,yellow,,
Connecticut,US,mixed_39,0.5281099588150650,orange,red,
Rhode Island,US,mixed_40,0.518618387262455,orange,red,
Washington,US,mixed_4,0.4457856618032960,orange,red,
Massachusetts,US,mixed_41,0.486155800169348,orange,red,
Oregon,US,mixed_42,0.8149417409184370,red,,
Newfoundland and Labrador,Canada,mixed_44,-0.006153846153846150,green,,
Nova Scotia,Canada,mixed_45,0.09558823529411760,green,,
Northwest Territories,Canada,mixed_46,0.0,green,,
Hawaii,US,mixed_47,0.03949730700179530,green,,
Prince Edward Island,Canada,mixed_48,0.0,green,,
Utah,US,mixed_49,0.8894819466248040,red,,
Wyoming,US,mixed_50,0.4831223628691980,orange,green,
British Columbia,Canada,mixed_5,0.1871301775147930,yellow,,
Nevada,US,mixed_51,0.6956094364351250,orange,red,
Colorado,US,mixed_52,0.6142173993010850,orange,red,
South Dakota,US,mixed_53,0.820042643923241,red,,
Nebraska,US,mixed_54,0.6089195832845610,orange,red,
Kansas,US,mixed_55,0.48409658617818500,orange,yellow,
Oklahoma,US,mixed_56,0.7675853558206500,orange,red,
Iowa,US,mixed_57,0.6457322295175560,orange,red,
Missouri,US,mixed_58,0.5704737566345590,orange,red,
Wisconsin,US,mixed_59,0.9258549528301890,red,,
Idaho,US,mixed_6,0.25844504021447700,yellow,,
Illinois,US,mixed_60,0.8514352437481760,red,,
Kentucky,US,mixed_61,0.7614513638703040,orange,red,
Arkansas,US,mixed_62,0.7398926654740610,orange,red,
Tennessee,US,mixed_63,0.6072902338376890,orange,red,
West Virginia,US,mixed_64,0.46867167919799500,orange,green,
Indiana,US,mixed_65,0.720456694058614,orange,red,
Western Australia,Australia,mixed_66,0.007079646017699120,green,,
Northern Territory,Australia,mixed_67,0.0,green,,
South Australia,Australia,mixed_68,0.0,green,,
Queensland,Australia,mixed_69,0.022988505747126400,green,,
Montana,US,mixed_7,0.055137844611528800,green,,
New South Wales,Australia,mixed_70,0.01648854961832060,green,,
Victoria,Australia,mixed_72,0.13904899135446700,yellow,,
Tasmania,Australia,mixed_73,0.01149425287356320,green,,
Australian Capital Territory,Australia,mixed_77,0.0,green,,
Alberta,Canada,mixed_8,0.2381725888324870,yellow,,
Saskatchewan,Canada,mixed_9,0.31321839080459800,yellow,,
Bermuda,United Kingdom,uk_206,0.11363636363636400,yellow,,
Cayman Islands,United Kingdom,uk_207,0.36486486486486500,yellow,,
Channel Islands,United Kingdom,uk_208,0.036585365853658500,green,,
Gibraltar,United Kingdom,uk_209,0.026143790849673200,green,,
Guernsey,United Kingdom,uk_210,nan,green,,
Isle of Man,United Kingdom,uk_211,0.04013377926421410,green,,
Jersey,United Kingdom,uk_212,nan,green,,
Montserrat,United Kingdom,uk_213,0.0,green,,
,United Kingdom,uk_214,0.6389641757471840,orange,red,Ok
Yukon,Canada,mixed_26,0.0,green,,
Nunavut,Canada,mixed_43,0.0,green,,
,Botswana,181,0.2105263157894740,yellow,,
,Burundi,28,1.0,red,,
,Sierra Leone,184,1.0,red,,
,Malawi,22,1.0,red,,
Falkland Islands (Malvinas),United Kingdom,61,0.0,green,,
Saint Pierre and Miquelon,France,232,0.0,green,,
,Western Sahara,236,0.0,green,,
,Sao Tome and Principe,199,0.18028846153846200,yellow,,
,Yemen,221,0.985,red,,
,Burma,17,0.08333333333333330,green,,
Anguilla,United Kingdom,127,0.0,green,,
British Virgin Islands,United Kingdom,214,0.33333333333333300,yellow,,
Turks and Caicos Islands,United Kingdom,235,0.0,green,,
,MS Zaandam,new_id_0,0.0,green,,
,Botswana,181,0.2105263157894740,yellow,,
,Burundi,28,1.0,red,,
,Sierra Leone,184,1.0,red,,
"""Bonaire"," Sint Eustatius and Saba""",new_id_0,0.0,green,,
,Malawi,22,1.0,red,,
Falkland Islands (Malvinas),United Kingdom,61,0.0,green,,
Saint Pierre and Miquelon,France,232,0.0,green,,
,South Sudan,new_id_0,0.9796954314720810,red,,
,Western Sahara,236,0.0,green,,
,Sao Tome and Principe,199,0.18028846153846200,yellow,,
,Yemen,221,0.985,red,,
,Comoros,36,0.2857142857142860,yellow,,
,Tajikistan,195,1.0,red,,
,Kosovo,kos_1,0.1,green,,Ok
Svalbard,Finland,239,0.4,yellow,,Ok
\u00c3\u0192\u00e2\u20ac\u00a6land Islands,Denmark,141,,yellow,,Ok
